team,player_raw,player_resolved,role,slot,stat_source,season,has_team_bench,minutes,games,primary_position,fpl_position,positions,rating,goals90,assists90,xg90,xa90,shots90,shots_on_target90,key_passes90,pass_pct,dribbles90,tackles90,interceptions90,understat_xg90,understat_shots90,gap_flags,has_gaps
DDR,Gregor Kobel,Gregor Kobel,XI,GK,blend_cache,,True,2970.0,33,GK,GK,GK,6.998627204030226,0.0,0.0,0.0,0.001954618276781745,0.0,0.0,0.019245906801007556,73.52607052896725,0.02337846347607053,0.005037783375314861,0.011689231738035264,0.0,0.0,aerials_estimated,True
DDR,Alvaro Carreras,Álvaro Carreras,bench,,blend_cache,,True,2340.0,28,LB,DEF,LB|RB,6.962095808383234,0.0718562874251497,0.11077844311377245,0.030359281437125747,0.07008982035928144,0.45209580838323354,0.1407185628742515,1.0778443113772456,88.0251497005988,0.7514970059880239,1.6736526946107784,1.3353293413173652,0.13946131473139375,1.5931439033110437,,False
DDR,Felix Nmecha,Felix Nmecha,bench,,blend_cache,,True,1847.5,27,CM,MID,CM,6.961637401229148,0.1391463661092761,0.09454657473989223,0.10882505506113678,0.11734047154092372,1.21039004383903,0.3324303423215905,0.9241908841668637,86.2051448639157,0.9887378047897859,1.7661795526952797,1.0863190409936134,0.10053279960377974,1.2037630633359035,,False
Dilshad,Mbappe,Kylian Mbappé,XI,LW,blend_cache,,True,2759.5,32,ST,FWD,ST,7.435825242718447,0.7588148284523514,0.12933488925882553,0.6880471828448869,0.1772553060792916,4.314629632123266,2.02294204430353,1.7063019073425536,82.71633528394733,2.1426678612693557,0.3541813356265962,0.10319827354259177,0.7540806966752288,4.286933384019748,,False
Dilshad,Neuer,Manuel Neuer,XI,GK,prime,2013-2014,True,2745.0,31,GK,GK,GK,7.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,,False
Dilshad,Fede Valverde,Federico Valverde,XI,CM1,blend_cache,,True,2889.0,34,CM,MID,CM,7.256574955001286,0.15273408951045508,0.16720437717774797,0.09022292859533014,0.12082825777010617,1.5578655783205537,0.6003761986547755,1.2363061126074537,88.66434173309334,0.6363951180324443,1.500375849444189,1.1042715158131051,0.08050303673417669,1.5529780914127291,,False
Dilshad,Dani Olmo,Dani Olmo,XI,CM2,blend_cache,,True,2077.0,33,CM,MID,CM,6.974250893727657,0.31524211894702636,0.2729931751706207,0.33454663633409165,0.19421514462138448,2.8274293142671434,0.9327266818329543,1.790705232369191,81.60734156646083,0.7279818004549887,1.225219369515762,0.4907377315567111,0.40172479913637466,2.8330247388455145,,False
Dilshad,Nico Paz,Nico Paz,bench,,blend_cache,,True,2790.5,35,CM,MID,CM,7.179749373433584,0.3012819010523902,0.19882135551773053,0.30106392867541865,0.12261921272205237,3.374209211250376,1.288990808367652,1.5392473416244496,80.69926131117266,1.8511236004433724,1.883074143078007,0.6455700819662611,0.31329329483718393,3.360700473646596,,False
Dilshad,Marcelo,Marcelo,XI,LB,peak_season,2016-2017,True,2279.0,30,LB,DEF,LB|LM,6.85,0.08,0.39,0.07988807847256475,0.3008613927845197,0.99,0.16,1.7414248021108178,84.0,0.7717559366754617,1.4611671785870997,1.7376042123738482,0.07988807847256475,0.9894459102902374,aerials_estimated,True
Dilshad,Nunes,Matheus Nunes,bench,,blend_cache,,True,2273.5,30,LB,DEF,LB,7.006266228807087,0.04781864515174018,0.19657754249016623,0.04481585142210802,0.11667261764824932,0.4574278802414705,0.15723796897795833,1.007739979598577,86.8268901787078,0.9028676279010646,1.8525459146145358,0.8961834076126063,0.04792441413213493,0.45832749840114684,,False
Dilshad,Eliott Anderson,Elliot Anderson,XI,DM,blend_cache,,True,3038.0,37,CM,MID,CM,7.114420505200595,0.0900779426116396,0.13946651918669298,0.08026592565808972,0.12070249763079595,1.2378706983331111,0.27465387983396095,1.2877665589781242,83.68840267459137,1.1255868256315475,2.6254120260058134,0.9972232714898166,0.08701960123299778,1.2330205211956975,,False
Dilshad,Pulisic,Christian Pulišić,XI,RW,blend_cache,,True,2050.0,32,ST,FWD,ST,7.057950819672131,0.3953424300367905,0.2238091728525376,0.40832240850492235,0.18349328859418476,2.4933685871465734,1.0823206907535754,1.9125672144173076,81.22540983606558,1.3370040192599797,1.066442912051418,0.19905019580429925,0.43081387484715,2.4847623087007085,,False
Dilshad,Morgan Rogers,Morgan Rogers,bench,,blend_cache,,True,3207.0,37,CM,MID,CM,6.923319467554077,0.25155435741106197,0.21507170965411793,0.19523100178085273,0.1451351375221303,2.0030766824689508,0.7554655341136319,1.4174263269067089,75.23007606370335,1.4949274354733837,1.147696492933887,0.296610452553479,0.21488192820526647,1.9871095302576443,,False
Dilshad,Kim Min Jae,Kim Min-jae,XI,CB2,blend_cache,,True,1955.0,26,CB,DEF,CB,7.07163282571912,0.05453119528681416,0.02851846168780943,0.04625385057258342,0.05139854664178325,0.3520801924484233,0.1708917875888589,0.288312404329124,91.13725042301185,0.1419876466886854,1.4007339020517846,1.5528464403503177,0.053425044306254145,0.3513698317129498,aerials_estimated,True
Dilshad,Hugo Ekitike,Hugo Ekitiké,XI,ST,blend_cache,,True,2194.0,30,ST,FWD,ST,7.033948027551659,0.47416202816298897,0.20180490975774618,0.534839482092908,0.13840385568467625,3.2643445975109784,1.2068423556567358,1.230607353909944,75.78253913587977,1.5229290129593522,0.6301724005981163,0.2134379432944514,0.508451621369514,2.941294900690839,,False
Dilshad,Hakan Calhanoglu,Hakan Çalhanoğlu,bench,,blend_cache,,True,1805.0,25,CM,MID,CM,7.257139037433156,0.3530891617358443,0.2016219838839945,0.28540164416193947,0.17623993743950747,2.4129002461143356,0.869402510053791,1.8504641125453931,84.56938502673798,0.41730702637760286,1.5172230304900765,0.6358921556172236,0.2742016005377566,2.3868751599267712,,False
Dilshad,Rrahmani,Amir Rrahmani,XI,CB1,blend_cache,,True,2603.0,29,CB,DEF,CB,7.138981404385234,0.0539941107340412,0.05502285398952299,0.06387744912774944,0.02619734113560028,0.6769544455434394,0.15205748651096357,0.3285660812440341,90.08908687205107,0.14368945986650064,1.2136803935651588,0.9826120139656569,0.05697256487192988,0.675293081718557,,False
Dilshad,Nordi Mukiele,Nordi Mukiele,XI,RB,blend_cache,,True,2787.0,32,LB,DEF,LB,6.9309532611565885,0.08714021653023502,0.12146818061790335,0.06052284129918141,0.08558225508317929,0.8027462371270135,0.14787430683918668,0.8080274623712701,79.52724584103512,0.5202006865592818,2.141536836546079,1.201478743068392,0.08174360880863346,0.8014188400194344,,False
